"Blues" "Female" "Male" "Geno" "Hybrid" "Lines" "Exp.I" "Exp.II" "Exp.III" "Exp.IV" "Exp.V"
"332" 9.078297925 "cleo" "nordsaatmix" "cleo&&nordsaatmix" 1 0 0 0 0 0 1
"333" 8.09623877 "cltr16288" "cltr16288" "cltr16288" 0 1 0 0 0 0 1
"334" 9.148243286 "cltr16288" "malemixlate" "cltr16288&&malemixlate" 1 0 0 0 0 0 1
"335" 8.96706827 "cltr16288" "nordsaatmix" "cltr16288&&nordsaatmix" 1 0 0 0 0 0 1
"336" 8.205629204 "cocagne" "cocagne" "cocagne" 0 1 0 0 0 0 1
"337" 8.662659477 "cocagne" "malemixearly" "cocagne&&malemixearly" 1 0 0 0 0 0 1
"338" 9.288196364 "colonia" "colonia" "colonia" 0 1 1 1 1 1 1
"347" 7.348483377 "comtal" "comtal" "comtal" 0 1 0 0 0 0 1
"348" 8.79906694 "comtal" "sur99820sur186" "comtal&&sur99820sur186" 1 0 0 0 0 0 1
"349" 7.906043461 "copain" "copain" "copain" 0 1 0 0 0 0 1
"350" 9.450716214 "copain" "sur99820sur186" "copain&&sur99820sur186" 1 0 0 0 0 0 1
"351" 8.117860185 "corin" "corin" "corin" 0 1 0 0 0 0 1
"352" 9.013906588 "corin" "nordsaatmix" "corin&&nordsaatmix" 1 0 0 0 0 0 1
"355" 8.97408896 "damier" "damier" "damier" 0 1 0 0 0 0 1
"356" 10.05391041 "damier" "nordsaatmix" "damier&&nordsaatmix" 1 0 0 0 0 0 1
"357" 7.875139403 "danubius" "danubius" "danubius" 0 1 0 0 0 0 1
